Category;Year;Filename;Offence/type;Cases;Offences;Attempted;Multiple;Solved;Total accused;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70-99;No information;Male;Female;Legal persons;No information_1;Total;Residents;Asylum I;Asylum II;Miscellaneous;No information_2
Life and Limb;2011;2011_swisscrime.csv;311.00.111.00 Homicide;200;229;184;3;222;253;0;1;15;16;48;44;32;21;42;23;4;7;0;226;27;0;0;151;78;26;1;44;2
Life and Limb;2011;2011_swisscrime.csv;311.00.116.00 Infanticide;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2011;2011_swisscrime.csv;311.00.117.00 Homicide through negligence;36;37;0;0;26;34;0;0;0;2;3;0;6;4;6;4;4;4;0;25;8;1;0;6;2;0;0;4;0
Life and Limb;2011;2011_swisscrime.csv;311.00.118.00 Illegal abortion;6;6;0;1;6;8;0;0;0;0;2;2;1;0;3;0;0;0;0;4;4;0;0;8;6;2;0;0;0
Life and Limb;2011;2011_swisscrime.csv;311.00.122.00 Grievous bodily harm;406;487;73;11;407;513;0;16;72;59;112;70;51;35;57;31;5;3;2;466;46;0;1;268;177;51;4;33;3
Life and Limb;2011;2011_swisscrime.csv;311.00.123.00 Simply bodily harm;7756;9033;105;257;7445;7670;7;310;680;634;1304;1051;942;710;1213;529;212;74;4;6563;1105;0;2;3935;2986;310;44;517;78
Life and Limb;2011;2011_swisscrime.csv;311.00.125.00 Bodily harm through negligence;600;619;2;5;505;548;0;15;21;15;47;42;61;50;120;100;50;26;1;378;170;0;0;171;128;5;0;37;1
Life and Limb;2011;2011_swisscrime.csv;311.00.126.00 Assault;10445;12014;1;1444;10414;10009;6;406;651;469;1226;1305;1290;1115;2062;964;375;130;10;7850;2153;0;6;5005;4095;307;31;380;192
Life and Limb;2011;2011_swisscrime.csv;311.00.127.00 Endangering the life or health of another / Abandonment;8;9;0;0;7;6;0;0;0;0;0;0;2;1;2;1;0;0;0;4;2;0;0;3;X;X;X;X;X
Life and Limb;2011;2011_swisscrime.csv;311.00.128.00 Failure to offer aid in an emergency;85;90;0;0;73;90;0;2;8;4;17;8;10;6;14;14;3;3;1;71;19;0;0;33;20;2;0;11;0
Life and Limb;2011;2011_swisscrime.csv;311.00.128.A0 False alarm;87;88;0;5;65;69;0;3;8;9;20;9;2;7;6;3;0;2;0;57;12;0;0;31;19;7;1;4;0
Life and Limb;2011;2011_swisscrime.csv;311.00.129.00 Endangering life ;563;620;11;11;445;460;2;14;38;37;59;57;44;43;85;55;15;9;2;419;40;0;1;207;149;17;2;37;2
Life and Limb;2011;2011_swisscrime.csv;311.00.133.00 Participation brawl;233;1119;0;1;1078;1022;0;15;153;140;292;176;100;65;53;20;7;0;1;980;42;0;0;574;389;89;18;71;7
Life and Limb;2011;2011_swisscrime.csv;311.00.134.00 Participation attack;894;1905;3;4;1246;1099;0;82;299;208;241;121;60;37;33;12;3;3;0;1045;54;0;0;565;439;47;3;71;5
Life and Limb;2011;2011_swisscrime.csv;311.00.135.00 Representations of acts of violence;37;37;0;1;36;44;0;17;8;3;3;2;1;1;4;4;1;0;0;42;2;0;0;11;11;0;0;0;0
Life and Limb;2011;2011_swisscrime.csv;311.00.136.00 Administering substances capable of causing injury to children;87;101;4;11;82;81;0;3;13;17;12;6;4;7;11;8;0;0;0;60;21;0;0;19;13;4;0;2;0
Property;2011;2011_swisscrime.csv;311.00.137.00 Unlawful appropriation, including minor offences;2517;2524;8;3;454;506;0;17;56;43;77;63;49;44;81;50;23;3;0;393;113;0;0;253;164;30;6;49;4
Property;2011;2011_swisscrime.csv;311.00.138.00 Misappropriation;1891;2015;6;94;1794;1755;0;8;19;35;163;206;232;233;434;237;130;16;14;1329;396;28;2;857;630;20;0;182;25
Property;2011;2011_swisscrime.csv;311.00.139.00 Theft;64235;64513;333;333;7623;7005;1;408;727;535;1243;1034;780;638;941;461;163;60;5;5193;1802;9;1;4213;1774;700;96;1509;134
Property;2011;2011_swisscrime.csv;311.00.139.10 Burglary;52463;52735;15205;64;6060;3769;5;190;640;412;783;618;434;304;262;80;32;5;3;3403;365;1;0;2347;664;300;42;1185;156
Property;2011;2011_swisscrime.csv;311.00.139.71 Theft by secretly entering an unsecured place;12363;12437;364;59;1519;1465;1;142;266;142;279;190;142;113;116;42;21;9;2;1283;182;0;0;760;350;83;17;269;41
Property;2011;2011_swisscrime.csv;311.00.139.72 Snatch theft;2108;2123;78;0;213;205;0;7;39;26;43;31;28;11;13;4;2;0;1;199;6;0;0;146;49;42;2;48;5
Property;2011;2011_swisscrime.csv;311.00.139.74 Shoplifting;17659;17944;139;201;15288;11347;10;947;1195;688;1778;1725;1307;926;1369;754;371;264;9;7166;4176;4;1;7004;2094;1955;236;2077;642
Property;2011;2011_swisscrime.csv;311.00.139.75 Pickpocketing;27425;27450;131;8;818;853;0;10;45;59;202;163;146;102;97;16;6;6;1;618;235;0;0;797;70;136;19;541;31
Property;2011;2011_swisscrime.csv;311.00.139.76 Theft by false pretences;6580;6608;136;9;733;684;0;6;33;61;156;144;98;81;80;18;4;0;3;536;146;0;2;601;47;76;13;434;31
Property;2011;2011_swisscrime.csv;311.00.139.78 Theft from a co-tenant;89;91;0;6;80;80;0;4;12;10;15;16;5;4;8;5;1;0;0;55;25;0;0;40;26;3;0;11;0
Property;2011;2011_swisscrime.csv;311.00.139.80 Vehicle larceny;17271;17312;2460;14;1042;602;0;12;63;74;142;145;87;48;21;8;2;0;0;590;12;0;0;456;109;177;27;127;16
Property;2011;2011_swisscrime.csv;311.00.139.81 Vehicle theft;45233;51652;739;10;1451;1498;5;141;394;177;264;169;109;72;116;33;13;5;0;1398;100;0;0;683;390;80;7;189;17
Property;2011;2011_swisscrime.csv;311.00.139.82 Theft from/ out of a vehicle;11910;11960;471;27;996;792;0;23;101;84;175;163;94;58;71;15;5;3;0;758;34;0;0;537;162;138;31;193;13
Property;2011;2011_swisscrime.csv;311.00 140.00 Violent robbery;2996;3113;322;3;1042;1449;0;68;364;288;313;165;103;63;65;17;3;0;0;1356;93;0;0;838;483;138;12;181;24
Property;2011;2011_swisscrime.csv;311.00.141.00 Removal of property;537;543;2;7;438;457;0;8;10;17;61;40;46;41;115;85;30;3;0;348;108;1;0;181;150;7;0;23;1
Property;2011;2011_swisscrime.csv;311.00.141.A0 Unlawful use of financial assets;16;17;0;2;15;15;0;0;0;0;3;1;2;1;6;1;0;0;0;9;5;1;0;5;5;0;0;0;0
Property;2011;2011_swisscrime.csv;311.00.142.00 Unlawful abstraction of energy;40;42;0;3;36;42;0;0;1;1;8;5;4;7;6;6;3;1;0;38;4;0;0;12;11;0;0;1;0
Property;2011;2011_swisscrime.csv;311.00.143.00 Unauthorised obtaining of data;1654;1700;92;47;192;151;0;1;0;2;14;24;31;24;27;11;1;0;14;124;24;2;1;112;16;0;0;90;6
Property;2011;2011_swisscrime.csv;311.00.143.A0 Unauthorised access to a data processing system;198;200;11;10;50;54;0;1;3;4;5;3;7;10;11;7;1;0;1;40;12;1;1;21;15;0;0;6;0
Property;2011;2011_swisscrime.csv;311.00.144.00 Criminal damage (para. 1);52881;53435;3;314;8185;7551;33;795;1284;724;1196;805;635;488;818;449;213;96;4;6573;966;11;1;2740;1870;260;41;496;73
Property;2011;2011_swisscrime.csv;311.00.144.0Z Criminal damage plus theft;64600;64908;11;79;7469;4710;4;262;752;501;976;765;544;366;345;133;45;12;4;4265;444;1;0;2881;875;458;63;1314;171
Property;2011;2011_swisscrime.csv;311.00.144.A0 Damage to data (1/1);97;97;0;2;31;45;0;0;2;0;8;3;5;8;7;8;4;0;0;35;10;0;0;13;11;0;0;2;0
Property;2011;2011_swisscrime.csv;311.00.145.00 Misappropriation and removal of property subject to a pledge or lien;91;91;0;2;30;44;0;0;2;0;8;3;5;7;7;8;4;0;0;34;10;0;0;12;11;0;0;1;0
Property;2011;2011_swisscrime.csv;311.00.146.00 Fraud;5799;6307;867;224;4281;3502;0;23;94;113;357;471;458;386;707;414;194;47;131;2533;836;107;26;1956;1109;30;3;747;67
Property;2011;2011_swisscrime.csv;311.00.147.00 Computer fraud;41;41;0;1;31;26;0;0;0;0;3;4;0;4;8;5;1;1;0;18;8;0;0;11;3;0;0;8;0
Property;2011;2011_swisscrime.csv;311.00.148.00 Misuse of a cheque card or credit card;5360;5520;951;1233;1194;1124;0;20;67;98;199;213;155;137;131;66;19;3;15;796;313;1;14;705;290;21;2;361;31
Property;2011;2011_swisscrime.csv;311.00.149.00 Making off from a hotel, restaurant or bar without payment;94;96;10;11;75;55;0;0;0;1;10;15;7;9;5;1;1;0;5;43;11;1;0;44;8;1;0;35;0
Property;2011;2011_swisscrime.csv;311.00.150.00 Obtaining a service without payment;527;540;3;7;476;419;0;0;1;10;51;69;55;56;97;51;18;6;3;332;85;2;0;269;101;4;0;158;6
Property;2011;2011_swisscrime.csv;311.00.150.A0 Production and marketing of equipment for the unauthorised decoding of encoded services;609;622;7;10;431;460;0;12;88;73;82;63;42;25;46;13;12;1;1;322;136;2;0;253;137;50;6;49;11
Property;2011;2011_swisscrime.csv;311.00.151.00 Maliciously causing financial loss to another;3;6;0;1;5;4;0;0;0;0;0;1;1;0;0;1;0;0;0;3;0;1;0;3;X;X;X;X;X
Property;2011;2011_swisscrime.csv;311.00.152.00 False statements about commercial business;126;130;1;2;76;59;0;1;1;2;11;11;6;9;7;5;4;2;0;48;11;0;0;23;18;1;0;3;1
Property;2011;2011_swisscrime.csv;311.00.153.00 False statements to the commercial register authorities;10;10;0;1;9;16;0;0;0;0;0;2;2;1;4;4;1;1;0;13;2;1;0;5;5;0;0;0;0
Property;2011;2011_swisscrime.csv;311.00.155.00 Counterfeiting of goods;11;11;0;2;11;28;0;0;0;0;2;3;2;3;7;10;1;0;0;23;5;0;0;11;11;0;0;0;0
Property;2011;2011_swisscrime.csv;311.00.156.00 Extortion;44;53;0;3;42;42;0;0;0;2;7;9;10;5;4;4;0;1;0;28;14;0;0;29;5;0;1;23;0
Property;2011;2011_swisscrime.csv;311.00.157.00 Profiteering;344;378;74;18;250;291;0;38;49;9;28;33;31;27;42;15;9;2;6;258;31;2;0;182;110;17;0;40;15
Property;2011;2011_swisscrime.csv;311.00.158.00 Criminal mismanagement;63;64;3;2;43;56;0;0;1;2;2;4;8;7;11;13;6;0;1;41;14;1;0;32;17;1;1;12;1
Property;2011;2011_swisscrime.csv;311.00.159.00 Misuse of salary deductions;189;207;1;16;197;263;0;0;0;0;3;11;19;20;82;57;42;8;6;218;30;15;0;80;55;0;0;25;0
Property;2011;2011_swisscrime.csv;311.00.160.00 Handling stolen goods;166;168;0;1;163;187;0;0;0;0;2;8;23;22;57;43;15;2;0;139;33;15;0;90;84;1;1;4;0
Property;2011;2011_swisscrime.csv;311.00.161.00 Insider trading;1354;1388;10;18;1366;1517;0;67;170;149;356;266;198;119;125;47;17;1;0;1335;176;2;4;1077;371;259;42;393;12
Property;2011;2011_swisscrime.csv;311.00.161.A0 Price manipulation;2;3;0;0;2;9;0;0;0;0;0;0;0;0;5;3;1;0;0;8;1;0;0;5;5;0;0;0;0
Property;2011;2011_swisscrime.csv;311.00.162.00 Breach of manufacturing or trade secrecy;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Property;2011;2011_swisscrime.csv;311.00.163.00 Fraudulent bankruptcy and fraud against seizure;32;34;0;2;29;44;0;0;0;0;1;2;3;6;12;15;4;0;0;38;5;1;0;17;12;0;0;5;0
Property;2011;2011_swisscrime.csv;311.00.164.00 Reduction of assets to the prejudice of creditors;144;147;1;9;144;151;0;0;0;0;6;2;15;18;52;27;21;10;0;119;32;0;0;48;47;0;0;1;0
Property;2011;2011_swisscrime.csv;311.00.165.00 Mismanagement;30;31;0;0;30;40;0;0;0;0;0;0;2;3;16;12;3;3;0;32;7;1;0;13;12;0;0;1;0
Property;2011;2011_swisscrime.csv;311.00.166.00 Failure to keep proper accounts;75;80;0;4;76;105;0;0;0;0;3;5;11;17;38;24;4;2;0;87;17;1;0;37;34;0;0;3;0
Property;2011;2011_swisscrime.csv;311.00.167.00 Undue preference to creditors;80;80;0;1;78;107;0;0;0;0;3;8;13;17;42;17;4;3;0;89;18;0;0;44;43;0;0;1;0
Property;2011;2011_swisscrime.csv;311.00.169.00 Disposal of seized assets;21;21;0;3;20;31;0;0;0;0;3;0;1;6;13;3;4;0;0;22;8;1;0;12;12;0;0;0;0
Property;2011;2011_swisscrime.csv;311.00.170.00 Obtaining a judicial composition agreement by fraud;327;331;0;3;329;298;0;0;0;1;4;11;16;45;86;75;48;9;0;246;49;3;0;116;114;0;0;2;0
Property;2011;2011_swisscrime.csv;311.00.144.A0 Damage to data (1/1);1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;2;1;0;0;3;0;1;0;0;0;0;0;0;0
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.173.00 Defamation;1150;1209;0;64;970;1073;2;24;19;17;58;70;95;137;270;209;120;48;4;640;433;0;0;328;255;6;1;50;16
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.174.00 Wilful defamation;898;938;2;47;773;843;0;21;14;21;34;59;73;112;219;155;85;46;4;491;352;0;0;250;197;7;0;32;14
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.175.00 Defamation of a deceased person or of a missing person presumed dead;32;32;0;0;28;29;0;2;1;2;0;3;2;3;10;4;1;1;0;19;10;0;0;11;10;0;0;0;1
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00 177.00 Insult;6058;6683;2;539;6037;5904;5;192;323;247;639;633;674;670;1279;719;371;149;3;4445;1459;0;0;2575;2065;125;14;249;122
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.00 Breach of the privacy of a sealed document;187;187;1;5;84;63;0;7;1;1;8;11;2;8;10;11;3;1;0;43;20;0;0;30;21;1;0;6;2
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.A0 Listening in on and recording the conversations of others;14;14;0;3;9;9;0;1;1;0;0;0;0;2;4;0;0;0;0;7;1;1;0;2;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.B0 Unauthorised recording of conversations;27;28;1;3;26;28;0;1;1;1;2;2;5;3;8;5;0;0;0;19;9;0;0;12;10;0;0;2;0
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.C0 Breach of secrecy or privacy through the use of an image-carrying device;191;201;1;17;171;150;0;24;10;6;10;9;12;12;26;27;12;2;0;116;34;0;0;54;41;4;0;4;5
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.E0 Marketing and promotion of devices for unlawful listening or sound or image recording;36;37;0;2;12;13;0;0;0;0;1;2;5;4;1;0;0;0;0;13;0;0;0;11;2;0;0;9;0
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.F0 Misuse of a telecommunications installation  septies;2361;2408;2;441;1802;1683;0;43;74;68;164;218;220;200;416;191;63;16;10;1260;423;0;0;736;591;25;3;98;19
Honour and Breach of Secrecy or Privacy;2011;2011_swisscrime.csv;311.00.179.H0 Obtaining personal data without authorisation  novies;34;34;1;0;16;19;0;1;2;1;1;3;3;2;1;4;0;0;0;14;4;1;0;6;3;0;0;2;1
Offences against Liberty;2011;2011_swisscrime.csv;311.00.180.00 Threatening behaviour;9780;10514;9;923;9428;8984;6;277;493;408;971;1079;1142;1080;1959;1021;411;120;17;7593;1391;0;0;4744;3763;304;40;485;152
Offences against Liberty;2011;2011_swisscrime.csv;311.00.181.00 Coercion;1837;1955;125;204;1767;1811;0;54;89;72;185;231;213;206;372;242;106;33;6;1537;272;2;0;847;692;45;3;104;3
Offences against Liberty;2011;2011_swisscrime.csv;311.00.182.00 Trafficking in human beings;31;45;0;2;40;50;0;0;0;1;3;10;9;6;9;6;4;1;1;29;21;0;0;38;13;1;0;21;3
Offences against Liberty;2011;2011_swisscrime.csv;311.00.183.00 False imprisonment and abduction;273;290;21;11;228;311;0;3;17;29;67;62;42;17;42;19;8;3;2;282;29;0;0;195;130;19;1;42;3
Offences against Liberty;2011;2011_swisscrime.csv;311.00.184.00 Aggravating circumstances;4;4;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Liberty;2011;2011_swisscrime.csv;311.00.185.00 Hostage taking;13;14;0;1;11;8;0;0;1;2;0;2;2;0;1;0;0;0;0;7;1;0;0;3;X;X;X;X;X
Offences against Liberty;2011;2011_swisscrime.csv;311.00.186.00 Unlawful entry;5059;5169;21;157;3985;3566;6;118;316;279;665;507;361;284;531;283;136;78;1;2973;592;1;0;1690;752;400;78;434;26
Offences against Liberty;2011;2011_swisscrime.csv;311.00.186.0Z Unlawful entry plus theft;56780;57020;2362;102;8594;5645;5;301;752;530;1107;913;646;514;542;207;80;41;6;4904;740;1;0;3408;1081;583;90;1459;195
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.187.00 Sexual acts with children;1124;1403;22;194;1127;728;4;84;58;63;101;62;57;56;121;66;33;22;1;698;29;0;1;277;200;27;2;38;10
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.188.00 Sexual acts with dependent persons;20;21;0;3;20;13;0;0;0;0;1;3;3;1;3;2;0;0;0;13;0;0;0;3;X;X;X;X;X
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.189.00 Indecent assault;568;606;35;70;460;466;3;63;47;31;57;45;38;41;71;51;15;3;1;458;8;0;0;224;159;26;1;34;4
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.190.00 Rape;538;552;75;75;442;454;0;9;31;33;68;92;73;55;55;32;3;1;2;453;1;0;0;290;205;36;5;42;2
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.191.00 Sexual acts with persons incapable of judgement or resistance;213;218;7;15;188;139;0;5;16;18;20;11;21;10;20;8;6;2;2;134;5;0;0;71;51;10;2;6;2
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.192.00 Sexual acts with persons in institutional care, prisoners or persons on remand;5;9;0;1;9;5;0;0;0;0;1;0;1;0;2;1;0;0;0;5;0;0;0;1;X;X;X;X;X
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.193.00 Exploitation of a person in a position of need or dependency;25;28;4;4;25;21;0;0;0;0;1;1;3;3;7;2;4;0;0;20;1;0;0;8;7;0;0;1;0
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.194.00 Indecent conduct;473;507;6;26;248;181;0;1;5;9;20;25;17;20;41;24;11;8;0;178;3;0;0;72;30;11;2;27;2
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.195.00 Encouraging prostitution;54;69;0;4;57;75;0;0;1;1;6;12;10;8;18;15;3;0;1;48;27;0;0;51;20;0;0;27;4
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.197.00 Pornography;656;701;8;119;641;605;0;38;23;22;51;69;79;55;145;72;42;8;1;588;16;0;1;143;122;3;1;11;6
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.198.00 Sexual harassment;1029;1089;7;88;667;604;0;41;46;26;73;72;58;46;110;79;37;15;1;592;12;0;0;275;193;33;2;44;3
Offences against sexual integrity;2011;2011_swisscrime.csv;311.00.199.00 Unauthorised practice of prostitution;908;918;0;11;912;618;0;0;0;38;139;109;103;83;112;29;4;1;0;67;551;0;0;547;94;5;1;438;9
Offences against the family;2011;2011_swisscrime.csv;311.00.213.00 Incest;8;9;0;5;9;8;0;2;0;2;2;0;0;0;1;1;0;0;0;8;0;0;0;1;X;X;X;X;X
Offences against the family;2011;2011_swisscrime.csv;311.00.215.00 Bigamy;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the family;2011;2011_swisscrime.csv;311.00.217.00 Neglect of duty to support the family;454;456;0;40;444;441;0;0;0;1;8;33;58;77;156;86;20;2;0;436;5;0;0;221;195;0;0;24;2
Offences against the family;2011;2011_swisscrime.csv;311.00.219.00 Neglect of duties of care, supervision or education;218;259;0;55;245;245;0;0;1;2;11;24;44;49;84;23;7;0;0;126;119;0;0;145;124;6;0;7;8
Offences against the family;2011;2011_swisscrime.csv;311.00.220.00 Abduction of minors;135;146;19;4;130;122;0;0;1;2;4;13;22;29;38;7;6;0;0;60;62;0;0;61;49;1;0;10;1
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.221.00 Arson;1137;1194;91;12;312;359;8;84;84;36;46;27;18;12;25;15;3;1;0;330;29;0;0;122;69;19;6;24;4
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.222.00 Negligent arson;1056;1094;1;0;690;780;12;99;54;36;60;49;50;54;147;102;69;48;0;575;205;0;0;216;174;9;3;26;4
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.223.00 Causing explosion;29;30;5;0;20;24;0;0;4;1;2;2;1;3;6;3;1;1;0;22;2;0;0;6;4;0;0;2;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.224.00Misuse of explosives and toxic gases with criminal intent;145;145;2;1;19;22;0;2;7;1;5;4;2;0;0;0;1;0;0;21;1;0;0;5;2;0;0;3;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.225.00 Misuse without criminal intent or through negligence;235;238;0;0;58;74;0;0;22;7;16;10;3;3;3;7;2;1;0;67;7;0;0;17;10;0;0;7;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.226.00 Manufacture, concealment and transport of explosives and toxic gases;9;9;0;0;6;8;0;0;1;0;1;2;2;0;1;1;0;0;0;7;1;0;0;4;0;0;0;4;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.226.A0 Causing danger by nuclear energy, radioactivity or ionising raditation;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.227.00 Causing a flood, collapse or landslide;3;3;0;0;2;5;0;0;0;0;0;0;1;3;1;0;0;0;0;5;0;0;0;3;X;X;X;X;X
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.228.00 Criminal damage to electrical installations, and hydraulic or protective structures;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.229.00 Violation of construction regulations;78;79;0;0;66;91;0;0;0;0;3;9;10;20;23;16;9;0;0;87;3;1;0;30;24;0;0;6;0
Offences constituting a public danger;2011;2011_swisscrime.csv;311.00.230.00 Removal or non-installation of safety devices;8;8;0;0;6;7;0;0;0;0;0;0;0;2;1;2;1;1;0;7;0;0;0;1;X;X;X;X;X
Offences against public health;2011;2011_swisscrime.csv;311.00.231.00 Transmission of human diseases;37;41;4;2;38;33;0;0;1;1;5;5;7;3;8;2;1;0;0;22;11;0;0;13;10;3;0;0;0
Offences against public health;2011;2011_swisscrime.csv;311.00.232.00 Transmission of an epizootic disease;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against public health;2011;2011_swisscrime.csv;311.00.234.00 Contamination of drinking water;11;11;0;0;7;11;0;0;0;0;4;1;1;1;3;0;0;0;0;8;2;1;0;1;X;X;X;X;X
Public Traffic;2011;2011_swisscrime.csv;311.00.237.00 Disruption of public transport;259;264;2;0;186;221;0;28;39;16;37;21;18;9;33;11;7;2;0;189;32;0;0;57;50;4;0;3;0
Public Traffic;2011;2011_swisscrime.csv;311.00.238.00 Disruption of rail traffic;160;163;0;0;116;131;0;10;23;12;16;9;10;7;18;16;6;4;0;114;17;0;0;34;18;3;0;11;2
Public Traffic;2011;2011_swisscrime.csv;311.00.239.00 Disruption of public services;114;139;2;0;119;122;0;4;11;10;27;23;9;8;15;7;6;2;0;92;30;0;0;32;23;3;0;5;1
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.240.00 Counterfeiting money;342;348;1;6;75;77;0;1;3;5;17;11;17;5;12;3;2;1;0;65;12;0;0;43;24;7;0;12;0
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.241.00 Falsification of money;4;4;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.242.00 Passing or tendering counterfeit money;1451;4405;107;15;360;334;0;5;15;29;63;51;47;27;51;19;15;10;2;266;68;0;0;204;86;40;7;67;4
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.243.00Imitation of bank notes, coins or official stamps without intent to commit forgery;9;9;0;0;7;11;0;1;0;0;4;1;2;1;1;1;0;0;0;10;1;0;0;6;3;1;0;2;0
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.244.00 Import, acquisition and storage of counterfeit money;54;62;0;3;55;39;0;0;0;0;5;15;10;4;4;1;0;0;0;32;7;0;0;31;17;1;0;12;1
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.245.00 Forgery of official stamps;12;13;0;2;8;9;0;0;0;0;0;2;0;1;5;0;1;0;0;9;0;0;0;8;5;0;0;3;0
Counterfeiting of money, stamps etc.;2011;2011_swisscrime.csv;311.00.246.00 Forgery of official marks;12;12;0;0;12;9;0;0;0;0;0;1;2;1;3;1;1;0;0;7;2;0;0;4;0;0;0;4;0
Forgery;2011;2011_swisscrime.csv;311.00.251.00 Forgery of a document;2185;2372;29;156;1877;1768;0;9;55;60;193;228;225;203;414;222;98;23;14;1282;458;24;4;864;603;21;4;222;14
Forgery;2011;2011_swisscrime.csv;311.00.252.00 Forgery of certificates;1839;1902;11;19;1821;1967;2;32;366;118;341;366;305;165;194;56;18;2;2;1495;472;0;0;1473;364;154;20;907;28
Forgery;2011;2011_swisscrime.csv;311.00.253.00 Obtaining a false certificate by fraud;66;68;5;2;68;99;0;0;1;2;9;20;12;8;31;12;0;1;0;74;22;3;0;55;41;2;2;10;0
Forgery;2011;2011_swisscrime.csv;311.00.254.00 Suppression de documents;15;15;0;1;13;13;0;0;1;0;1;1;1;2;2;1;1;3;0;10;3;0;0;3;X;X;X;X;X
Forgery;2011;2011_swisscrime.csv;311.00.256.00 Moving boundary markers;2;2;0;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Public order;2011;2011_swisscrime.csv;311.00.260.A0 Acts preparatory to the commission of an offence;45;47;1;2;34;35;0;1;4;5;4;5;3;0;7;4;1;1;0;34;1;0;0;6;5;0;0;0;1
Public order;2011;2011_swisscrime.csv;311.00.258.00 Causing fear and alarm among the general public;8;9;0;0;5;4;0;0;0;1;1;1;0;0;1;0;0;0;0;3;1;0;0;2;X;X;X;X;X
Public order;2011;2011_swisscrime.csv;311.00.259.00 Public incitement to commit a felony or act of violence;422;488;0;0;442;427;0;0;74;85;162;47;20;14;23;1;1;0;0;380;47;0;0;54;39;3;2;10;0
Public order;2011;2011_swisscrime.csv;311.00.260.00 Rioting;35;38;0;1;32;44;0;0;2;7;8;9;4;5;3;5;1;0;0;43;1;0;0;28;17;0;0;11;0
Public order;2011;2011_swisscrime.csv;311.00.260.B0 Criminal organisation;5;10;0;1;8;9;0;0;0;1;0;0;3;1;3;1;0;0;0;8;1;0;0;7;5;0;0;2;0
Public order;2011;2011_swisscrime.csv;311.00.260.C0 Endangering public safety with weapons;7;7;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
